Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;010410;kg;Sicilia;NP;polveri e residui affini, diversi da quelli di cui alla voce 01 04 07;4000.0;4000.0;4000.0
2026;AG;010413;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;7110.0;9310.0;9310.0
2026;AG;020104;kg;Sicilia;NP;rifiuti plastici (ad esclusione degli imballaggi);9190.0;47430.0;53470.0
2026;AG;020106;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;4000.0;4000.0;4000.0
2026;AG;020304;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;358990.0;403990.0;413990.0
2026;AG;020305;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;1500.0;1500.0;1500.0
2026;AG;020501;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;44320.0;44320.0;44320.0
2026;AG;020502;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;99945.0;126945.0;126945.0
2026;AG;020704;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;13715.0;13715.0;13715.0
2026;AG;020705;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;51745.0;61855.0;61855.0
2026;AG;030105;kg;Sicilia;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;54.0;66.0;66.0
2026;AG;040109;kg;Sicilia;NP;rifiuti delle operazioni di confezionamento e finitura;250.0;250.0;250.0
2026;AG;040220;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;2700.0;33520.0;33520.0
2026;AG;040222;kg;Sicilia;NP;rifiuti da fibre tessili lavorate;;;2.0
2026;AG;060102;kg;Sicilia;P;acido cloridrico;128.0;128.0;128.0
2026;AG;060104;kg;Sicilia;P;acido fosforico e fosforoso;25.0;25.0;25.0
2026;AG;060106;kg;Sicilia;P;altri acidi;372.0;372.0;372.0
2026;AG;060205;kg;Sicilia;P;altre basi;125.0;125.0;125.0
2026;AG;060503;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;62400.0;80000.0;80000.0
2026;AG;070213;kg;Sicilia;NP;rifiuti plastici;29760.0;29770.0;29770.0
2026;AG;070501;kg;Sicilia;P;soluzioni acquose di lavaggio e acque madri;395.0;945.0;945.0
2026;AG;070508;kg;Sicilia;P;altri fondi e residui di reazione;300.0;1139.0;1139.0
2026;AG;070612;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;13500.0;13500.0;13500.0
