Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;010410;kg;Sicilia;NP;polveri e residui affini, diversi da quelli di cui alla voce 01 04 07;0.0;0.0
2026;AG;010413;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;2200.0;0.0
2026;AG;020104;kg;Sicilia;NP;rifiuti plastici (ad esclusione degli imballaggi);38240.0;6040.0
2026;AG;020106;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;0.0;0.0
2026;AG;020304;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;45000.0;10000.0
2026;AG;020305;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;0.0;0.0
2026;AG;020501;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;0.0;0.0
2026;AG;020502;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;27000.0;0.0
2026;AG;020704;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;0.0;0.0
2026;AG;020705;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;10110.0;0.0
2026;AG;030105;kg;Sicilia;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;12.0;0.0
2026;AG;040109;kg;Sicilia;NP;rifiuti delle operazioni di confezionamento e finitura;0.0;0.0
2026;AG;040220;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;30820.0;0.0
2026;AG;040222;kg;Sicilia;NP;rifiuti da fibre tessili lavorate;0.0;2.0
2026;AG;060102;kg;Sicilia;P;acido cloridrico;0.0;0.0
2026;AG;060104;kg;Sicilia;P;acido fosforico e fosforoso;0.0;0.0
2026;AG;060106;kg;Sicilia;P;altri acidi;0.0;0.0
2026;AG;060205;kg;Sicilia;P;altre basi;0.0;0.0
2026;AG;060503;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;17600.0;0.0
2026;AG;070213;kg;Sicilia;NP;rifiuti plastici;10.0;0.0
2026;AG;070501;kg;Sicilia;P;soluzioni acquose di lavaggio e acque madri;550.0;0.0
2026;AG;070508;kg;Sicilia;P;altri fondi e residui di reazione;839.0;0.0
2026;AG;070612;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;0.0;0.0
2026;AG;070612;l;Sicilia;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;80.0;0.0
2026;AG;070703;kg;Sicilia;P;solventi organici alogenati, soluzioni di lavaggio e acque madri;155.0;0.0
2026;AG;070704;kg;Sicilia;P;altri solventi organici, soluzioni di lavaggio e acque madri;250.0;3.0
2026;AG;070704;l;Sicilia;P;altri solventi organici, soluzioni di lavaggio e acque madri;0.0;0.0
2026;AG;080111;kg;Sicilia;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;147.0;22.0
2026;AG;080111;l;Sicilia;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;0.0;60.0
2026;AG;080112;kg;Sicilia;NP;pitture e vernici di scarto, diverse da quelle di cui alla voce 08 01 11;4540.0;0.0
