Anno;Provincia produttore;Materiale;Unita di misura;Regione;Materiale_ID;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;Aggregati riciclati;kg;Sicilia;5;85018715.0;92700310.0;96242110.0
2026;AG;Altro;kg;Sicilia;23;476767.0;553961.0;601034.0
2026;AG;Ammendante compostato misto;kg;Sicilia;2;3325670.0;3551980.0;3842840.0
2026;AG;Ammendante compostato verde;kg;Sicilia;1;53660.0;53660.0;53660.0
2026;AG;Carta e cartone;kg;Sicilia;10;14322220.0;16706600.0;17153350.0
2026;AG;Granulato di Conglomerato bituminoso;kg;Sicilia;20;2441570.0;2441570.0;2441570.0
2026;AG;Rottami di ferro e acciaio;kg;Sicilia;8;1975960.0;2354270.0;2414270.0
2026;AG;Tessili;kg;Sicilia;14;115065.0;141635.0;141635.0
2026;AL;Aggregati riciclati;kg;Piemonte;5;239960303.0;283983073.0;301686752.0
2026;AL;Altri Fertilizzanti;kg;Piemonte;19;1458270.0;1458270.0;1458270.0
2026;AL;Altro;kg;Piemonte;23;16032306.0;18875827.0;19261451.0
2026;AL;Ammendante compostato misto;kg;Piemonte;2;73600.0;73600.0;73600.0
2026;AL;CSS – combustibile;kg;Piemonte;13;2438450.0;3188450.0;3199450.0
2026;AL;Carta e cartone;kg;Piemonte;10;24948845.0;29389215.0;31637715.0
2026;AL;Granulato di Conglomerato bituminoso;kg;Piemonte;20;24469600.0;33802770.0;33802770.0
2026;AL;Legno e sughero;kg;Piemonte;12;1955751.0;2377378.0;2377378.0
2026;AL;Plastica;kg;Piemonte;11;6785712.0;8031561.0;8031561.0
2026;AL;Rottami di alluminio;kg;Piemonte;6;2256111.0;2543731.0;2543731.0
2026;AL;Rottami di ferro e acciaio;kg;Piemonte;8;8656276.0;10241827.0;10241827.0
2026;AL;Rottami di rame;kg;Piemonte;9;3129048.0;4413179.0;4427879.0
2026;AN;Aggregati riciclati;kg;Marche;5;95338833.0;112325695.0;114594195.0
2026;AN;Altri Ammendanti;kg;Marche;3;;435930.0;519260.0
2026;AN;Altro;kg;Marche;23;16256534.0;21985510.0;21986543.0
2026;AN;Ammendante compostato misto;kg;Marche;2;294830.0;338830.0;338830.0
2026;AN;Ammendante compostato verde;kg;Marche;1;810230.0;1138210.0;1138210.0
2026;AN;CSS – combustibile;kg;Marche;13;3360000.0;5310000.0;5310000.0
2026;AN;Carta e cartone;kg;Marche;10;25495033.0;30731103.0;31131103.0
2026;AN;Digestato;kg;Marche;4;5000.0;5000.0;5000.0
2026;AN;Gomma;kg;Marche;15;3559623.0;3559623.0;3559623.0
2026;AN;Granulato di Conglomerato bituminoso;kg;Marche;20;33568504.0;43643924.0;43643924.0
2026;AN;Legno e sughero;kg;Marche;12;879162.0;1349162.0;1394162.0
2026;AN;Plastica;kg;Marche;11;984234.0;986234.0;1084664.0
2026;AN;Rottami di alluminio;kg;Marche;6;1968575.0;2239227.0;2350227.0
2026;AN;Rottami di ferro e acciaio;kg;Marche;8;51626720.0;59627457.0;59850637.0
2026;AN;Rottami di rame;kg;Marche;9;8960.0;9355.0;9355.0
2026;AN;Rottami di vetro;kg;Marche;7;28140.0;28140.0;28140.0
2026;AO;Aggregati riciclati;kg;Valle d`Aosta;5;3673998.0;11198328.0;14897108.0
2026;AO;Ammendante compostato verde;kg;Valle d`Aosta;1;62300.0;63900.0;63900.0
2026;AO;Carta e cartone;kg;Valle d`Aosta;10;5743780.0;7119900.0;7354080.0
2026;AO;Rottami di alluminio;kg;Valle d`Aosta;6;10260.0;10260.0;10260.0
2026;AO;Rottami di ferro e acciaio;kg;Valle d`Aosta;8;5004121.0;5715251.0;5811871.0
2026;AO;Rottami di rame;kg;Valle d`Aosta;9;7760.0;7760.0;7760.0
2026;AP;Aggregati riciclati;kg;Marche;5;161042107.0;197590128.0;199795720.0
2026;AP;Altro;kg;Marche;23;10469115.0;12350450.0;12350450.0
2026;AP;Carta e cartone;kg;Marche;10;9855967.0;11460179.0;11460179.0
2026;AP;Gomma;kg;Marche;15;1153737.0;1250737.0;1381037.0
2026;AP;Granulato di Conglomerato bituminoso;kg;Marche;20;20789642.0;36190302.0;36190302.0
2026;AP;Plastica;kg;Marche;11;632525.0;656525.0;656525.0
2026;AP;Rottami di alluminio;kg;Marche;6;97074.0;193230.0;209160.0
2026;AP;Rottami di ferro e acciaio;kg;Marche;8;11553378.0;14150259.0;14768259.0
2026;AP;Rottami di rame;kg;Marche;9;13665.0;25050.0;25050.0
2026;AQ;Aggregati riciclati;kg;Abruzzo;5;305163662.0;379779888.0;381650648.0
2026;AQ;Altro;kg;Abruzzo;23;5575660.0;5800392.0;5801270.0
2026;AQ;Carta e cartone;kg;Abruzzo;10;3166000.0;3696000.0;3696000.0
2026;AQ;Granulato di Conglomerato bituminoso;kg;Abruzzo;20;57089604.0;78935054.0;81136754.0
2026;AQ;Plastica;kg;Abruzzo;11;7019.0;8387.0;8387.0
2026;AQ;Rottami di ferro e acciaio;kg;Abruzzo;8;1727054.0;1727054.0;2139384.0
2026;AQ;Rottami di rame;kg;Abruzzo;9;1191.0;1191.0;1191.0
2026;AR;Aggregati riciclati;kg;Toscana;5;21519850.0;28263109.0;46737229.0
2026;AR;Altro;kg;Toscana;23;195873.0;229669.0;229669.0
2026;AR;Ammendante compostato misto;kg;Toscana;2;1734500.0;1939500.0;1939500.0
2026;AR;Carta e cartone;kg;Toscana;10;19927954.0;22526462.0;22526462.0
2026;AR;Granulato di Conglomerato bituminoso;kg;Toscana;20;36027400.0;47653400.0;47653400.0
2026;AR;Legno e sughero;kg;Toscana;12;5350360.0;6217740.0;6222650.0
2026;AR;Plastica;kg;Toscana;11;1549795.0;3111874.0;3704764.0
2026;AR;Rottami di alluminio;kg;Toscana;6;280.0;280.0;280.0
2026;AR;Rottami di ferro e acciaio;kg;Toscana;8;10163638.0;11462746.0;11599550.0
