Anno;Provincia produttore;Materiale;Unita di misura;Regione;Materiale_ID;Var_2026-09-07;Var_2026-09-15
2026;AG;Aggregati riciclati;kg;Sicilia;5;7681595.0;3541800.0
2026;AG;Altro;kg;Sicilia;23;77194.0;47073.0
2026;AG;Ammendante compostato misto;kg;Sicilia;2;226310.0;290860.0
2026;AG;Ammendante compostato verde;kg;Sicilia;1;0.0;0.0
2026;AG;Carta e cartone;kg;Sicilia;10;2384380.0;446750.0
2026;AG;Granulato di Conglomerato bituminoso;kg;Sicilia;20;0.0;0.0
2026;AG;Rottami di ferro e acciaio;kg;Sicilia;8;378310.0;60000.0
2026;AG;Tessili;kg;Sicilia;14;26570.0;0.0
2026;AL;Aggregati riciclati;kg;Piemonte;5;44022770.0;17703679.0
2026;AL;Altri Fertilizzanti;kg;Piemonte;19;0.0;0.0
2026;AL;Altro;kg;Piemonte;23;2843521.0;385624.0
2026;AL;Ammendante compostato misto;kg;Piemonte;2;0.0;0.0
2026;AL;CSS – combustibile;kg;Piemonte;13;750000.0;11000.0
2026;AL;Carta e cartone;kg;Piemonte;10;4440370.0;2248500.0
2026;AL;Granulato di Conglomerato bituminoso;kg;Piemonte;20;9333170.0;0.0
2026;AL;Legno e sughero;kg;Piemonte;12;421627.0;0.0
2026;AL;Plastica;kg;Piemonte;11;1245849.0;0.0
2026;AL;Rottami di alluminio;kg;Piemonte;6;287620.0;0.0
2026;AL;Rottami di ferro e acciaio;kg;Piemonte;8;1585551.0;0.0
2026;AL;Rottami di rame;kg;Piemonte;9;1284131.0;14700.0
2026;AN;Aggregati riciclati;kg;Marche;5;16986862.0;2268500.0
2026;AN;Altri Ammendanti;kg;Marche;3;435930.0;83330.0
2026;AN;Altro;kg;Marche;23;5728976.0;1033.0
2026;AN;Ammendante compostato misto;kg;Marche;2;44000.0;0.0
2026;AN;Ammendante compostato verde;kg;Marche;1;327980.0;0.0
2026;AN;CSS – combustibile;kg;Marche;13;1950000.0;0.0
2026;AN;Carta e cartone;kg;Marche;10;5236070.0;400000.0
2026;AN;Digestato;kg;Marche;4;0.0;0.0
2026;AN;Gomma;kg;Marche;15;0.0;0.0
2026;AN;Granulato di Conglomerato bituminoso;kg;Marche;20;10075420.0;0.0
2026;AN;Legno e sughero;kg;Marche;12;470000.0;45000.0
2026;AN;Plastica;kg;Marche;11;2000.0;98430.0
2026;AN;Rottami di alluminio;kg;Marche;6;270652.0;111000.0
2026;AN;Rottami di ferro e acciaio;kg;Marche;8;8000737.0;223180.0
2026;AN;Rottami di rame;kg;Marche;9;395.0;0.0
2026;AN;Rottami di vetro;kg;Marche;7;0.0;0.0
2026;AO;Aggregati riciclati;kg;Valle d`Aosta;5;7524330.0;3698780.0
2026;AO;Ammendante compostato verde;kg;Valle d`Aosta;1;1600.0;0.0
2026;AO;Carta e cartone;kg;Valle d`Aosta;10;1376120.0;234180.0
2026;AO;Rottami di alluminio;kg;Valle d`Aosta;6;0.0;0.0
2026;AO;Rottami di ferro e acciaio;kg;Valle d`Aosta;8;711130.0;96620.0
2026;AO;Rottami di rame;kg;Valle d`Aosta;9;0.0;0.0
2026;AP;Aggregati riciclati;kg;Marche;5;36548021.0;2205592.0
2026;AP;Altro;kg;Marche;23;1881335.0;0.0
2026;AP;Carta e cartone;kg;Marche;10;1604212.0;0.0
2026;AP;Gomma;kg;Marche;15;97000.0;130300.0
2026;AP;Granulato di Conglomerato bituminoso;kg;Marche;20;15400660.0;0.0
2026;AP;Plastica;kg;Marche;11;24000.0;0.0
2026;AP;Rottami di alluminio;kg;Marche;6;96156.0;15930.0
2026;AP;Rottami di ferro e acciaio;kg;Marche;8;2596881.0;618000.0
2026;AP;Rottami di rame;kg;Marche;9;11385.0;0.0
2026;AQ;Aggregati riciclati;kg;Abruzzo;5;74616226.0;1870760.0
2026;AQ;Altro;kg;Abruzzo;23;224732.0;878.0
2026;AQ;Carta e cartone;kg;Abruzzo;10;530000.0;0.0
2026;AQ;Granulato di Conglomerato bituminoso;kg;Abruzzo;20;21845450.0;2201700.0
2026;AQ;Plastica;kg;Abruzzo;11;1368.0;0.0
2026;AQ;Rottami di ferro e acciaio;kg;Abruzzo;8;0.0;412330.0
2026;AQ;Rottami di rame;kg;Abruzzo;9;0.0;0.0
2026;AR;Aggregati riciclati;kg;Toscana;5;6743259.0;18474120.0
2026;AR;Altro;kg;Toscana;23;33796.0;0.0
2026;AR;Ammendante compostato misto;kg;Toscana;2;205000.0;0.0
2026;AR;Carta e cartone;kg;Toscana;10;2598508.0;0.0
2026;AR;Granulato di Conglomerato bituminoso;kg;Toscana;20;11626000.0;0.0
2026;AR;Legno e sughero;kg;Toscana;12;867380.0;4910.0
2026;AR;Plastica;kg;Toscana;11;1562079.0;592890.0
2026;AR;Rottami di alluminio;kg;Toscana;6;0.0;0.0
2026;AR;Rottami di ferro e acciaio;kg;Toscana;8;1299108.0;136804.0
2026;AR;Rottami di rame;kg;Toscana;9;26351.0;0.0
2026;AT;Aggregati riciclati;kg;Piemonte;5;13800000.0;0.0
2026;AT;Altro;kg;Piemonte;23;8749243.0;0.0
2026;AT;Ammendante compostato verde;kg;Piemonte;1;82590.0;0.0
2026;AT;Carta e cartone;kg;Piemonte;10;1203825.0;113898.0
2026;AT;Correttivi da Fanghi;kg;Piemonte;18;4000000.0;0.0
2026;AT;Granulato di Conglomerato bituminoso;kg;Piemonte;20;0.0;0.0
2026;AT;Plastica;kg;Piemonte;11;0.0;0.0
2026;AT;Rottami di alluminio;kg;Piemonte;6;0.0;0.0
2026;AT;Rottami di ferro e acciaio;kg;Piemonte;8;3146341.0;1777422.0
2026;AT;Rottami di rame;kg;Piemonte;9;0.0;0.0
2026;AV;Aggregati riciclati;kg;Campania;5;62083666.0;20155870.0
2026;AV;Altro;kg;Campania;23;2976840.0;0.0
2026;AV;Carta e cartone;kg;Campania;10;1060000.0;133120.0
2026;AV;Gomma;kg;Campania;15;60000.0;0.0
2026;AV;Granulato di Conglomerato bituminoso;kg;Campania;20;7109680.0;139540.0
