Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;010413;R10;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;35440.0;35440.0;35440.0
2026;AG;010413;R5;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;66900.0;66900.0;66900.0
2026;AG;020104;R12;kg;Sicilia;NP;rifiuti plastici (ad esclusione degli imballaggi);R;700.0;700.0;700.0
2026;AG;020106;D8;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;D;58020.0;58020.0;58020.0
2026;AG;020106;R13;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R;223640.0;223640.0;223640.0
2026;AG;020106;R3;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R;72360.0;126580.0;171740.0
2026;AG;020201;D8;kg;Sicilia;NP;fanghi da operazioni di lavaggio e pulizia;D;9440.0;9440.0;9440.0
2026;AG;020204;D8;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;D;1000.0;1000.0;1000.0
2026;AG;020304;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;64030.0;66490.0;66490.0
2026;AG;020501;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;38040.0;43980.0;43980.0
2026;AG;020502;D9;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;D;8620.0;8620.0;8620.0
2026;AG;020701;D8;kg;Sicilia;NP;rifiuti prodotti dalle operazioni di lavaggio, pulizia e macinazione della materia prima;D;8780.0;8780.0;8780.0
2026;AG;020704;D13;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;D;16180.0;16180.0;16180.0
2026;AG;020704;D8;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;D;30880.0;34420.0;34420.0
2026;AG;020704;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;240.0;240.0;240.0
2026;AG;050109;D9;kg;Sicilia;P;fanghi prodotti dal trattamento in loco degli effluenti, contenenti sostanze pericolose;D;291560.0;291560.0;291560.0
2026;AG;070612;D9;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D;29980.0;34140.0;37960.0
2026;AG;080120;D8;kg;Sicilia;NP;sospensioni acquose contenenti pitture e vernici, diverse da quelle di cui alla voce 08 01 19;D;2000.0;2000.0;2000.0
2026;AG;080308;D9;kg;Sicilia;NP;rifiuti liquidi acquosi contenenti inchiostro;D;94080.0;94080.0;94080.0
2026;AG;100126;D9;kg;Sicilia;NP;rifiuti prodotti dal trattamento delle acque di raffreddamento;D;36420.0;36420.0;36420.0
2026;AG;110105;D9;kg;Sicilia;P;acidi di decappaggio;D;605580.0;679320.0;688840.0
2026;AG;110106;D9;kg;Sicilia;P;acidi non specificati altrimenti;D;20040.0;20040.0;20040.0
2026;AG;110112;D8;kg;Sicilia;NP;soluzioni acquose di lavaggio, diverse da quelle di cui alla voce 11 01 11;D;;9420.0;9420.0
2026;AG;110113;D9;kg;Sicilia;P;rifiuti di sgrassaggio contenenti sostanze pericolose;D;7060.0;7060.0;7060.0
2026;AG;120101;R4;kg;Sicilia;NP;limatura e trucioli di metalli ferrosi;R;400.0;400.0;400.0
2026;AG;130403;D9;kg;Sicilia;P;oli di sentina da un altro tipo di navigazione;D;674440.0;781080.0;807740.0
2026;AG;130506;D9;kg;Sicilia;P;oli prodotti da separatori olio/acqua;D;270800.0;270800.0;270800.0
2026;AG;130802;D9;kg;Sicilia;P;altre emulsioni;D;27440.0;54520.0;54520.0
2026;AG;150101;R13;kg;Sicilia;NP;imballaggi di carta e cartone;R;26000.0;26000.0;26000.0
2026;AG;150101;R3;kg;Sicilia;NP;imballaggi di carta e cartone;R;6157315.0;7404795.0;7579550.0
2026;AG;150102;R12;kg;Sicilia;NP;imballaggi di plastica;R;4628820.0;6056820.0;6900480.0
2026;AG;150102;R13;kg;Sicilia;NP;imballaggi di plastica;R;27320.0;27320.0;27320.0
2026;AG;150102;R3;kg;Sicilia;NP;imballaggi di plastica;R;86800.0;86800.0;86800.0
2026;AG;150103;R13;kg;Sicilia;NP;imballaggi in legno;R;15761.0;15761.0;15761.0
2026;AG;150103;R3;kg;Sicilia;NP;imballaggi in legno;R;56080.0;56080.0;56080.0
2026;AG;150104;R12;kg;Sicilia;NP;imballaggi metallici;R;24280.0;24280.0;24280.0
2026;AG;150106;R12;kg;Sicilia;NP;imballaggi in materiali misti;R;5276120.0;6627670.0;6936290.0
2026;AG;150106;R3;kg;Sicilia;NP;imballaggi in materiali misti;R;8659840.0;10137000.0;10356320.0
2026;AG;150107;R12;kg;Sicilia;NP;imballaggi di vetro;R;3150560.0;3987760.0;4172700.0
2026;AG;150107;R13;kg;Sicilia;NP;imballaggi di vetro;R;21950.0;21950.0;21950.0
2026;AG;150107;R3;kg;Sicilia;NP;imballaggi di vetro;R;98080.0;98080.0;98080.0
2026;AG;150203;R12;kg;Sicilia;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;R;680.0;680.0;1140.0
2026;AG;160104;D13;kg;Sicilia;P;veicoli fuori uso;D;1880.0;1880.0;1880.0
2026;AG;160104;R12;kg;Sicilia;P;veicoli fuori uso;R;1444190.0;1676137.0;1705667.0
2026;AG;160104;R13;kg;Sicilia;P;veicoli fuori uso;R;1959934.0;2403389.0;2453905.0
2026;AG;160104;R4;kg;Sicilia;P;veicoli fuori uso;R;690125.0;786885.0;799285.0
2026;AG;160106;R12;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;668851.0;756691.0;756691.0
2026;AG;160106;R13;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;684491.0;957419.0;957419.0
2026;AG;160106;R4;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;562027.0;628244.0;629905.0
2026;AG;160114;D9;kg;Sicilia;P;liquidi antigelo contenenti sostanze pericolose;D;860.0;860.0;860.0
2026;AG;160117;R4;kg;Sicilia;NP;metalli ferrosi;R;;4340.0;4340.0
2026;AG;160119;R12;kg;Sicilia;NP;plastica;R;7280.0;7280.0;7280.0
2026;AG;160119;R13;kg;Sicilia;NP;plastica;R;720.0;720.0;720.0
