Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Var_2026-09-07;Var_2026-09-15
2026;AG;010413;R10;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;0.0;0.0
2026;AG;010413;R5;kg;Sicilia;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;0.0;0.0
2026;AG;020104;R12;kg;Sicilia;NP;rifiuti plastici (ad esclusione degli imballaggi);R;0.0;0.0
2026;AG;020106;D8;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;D;0.0;0.0
2026;AG;020106;R13;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R;0.0;0.0
2026;AG;020106;R3;kg;Sicilia;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R;54220.0;45160.0
2026;AG;020201;D8;kg;Sicilia;NP;fanghi da operazioni di lavaggio e pulizia;D;0.0;0.0
2026;AG;020204;D8;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;D;0.0;0.0
2026;AG;020304;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;2460.0;0.0
2026;AG;020501;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;5940.0;0.0
2026;AG;020502;D9;kg;Sicilia;NP;fanghi da trattamento in loco degli effluenti;D;0.0;0.0
2026;AG;020701;D8;kg;Sicilia;NP;rifiuti prodotti dalle operazioni di lavaggio, pulizia e macinazione della materia prima;D;0.0;0.0
2026;AG;020704;D13;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;D;0.0;0.0
2026;AG;020704;D8;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;D;3540.0;0.0
2026;AG;020704;R3;kg;Sicilia;NP;scarti inutilizzabili per il consumo o la trasformazione;R;0.0;0.0
2026;AG;050109;D9;kg;Sicilia;P;fanghi prodotti dal trattamento in loco degli effluenti, contenenti sostanze pericolose;D;0.0;0.0
