Provincia;Campo;Regione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
AG;Numero operatori iscritti;Sicilia;2131;2151;2169
AG;Numero unita locali iscritte;Sicilia;2579;2609;2631
AG;di cui Centro di raccolta;Sicilia;24;24;25
AG;di cui Intermediario senza detenzione;Sicilia;50;50;50
AG;di cui Produttore;Sicilia;2384;2411;2432
AG;di cui Recuperatore;Sicilia;82;83;83
AG;di cui Smaltitore;Sicilia;26;26;26
AG;di cui Trasportatore;Sicilia;341;348;350
AL;Numero operatori iscritti;Piemonte;2815;2836;2844
AL;Numero unita locali iscritte;Piemonte;3459;3484;3490
AL;di cui Centro di raccolta;Piemonte;23;25;25
AL;di cui Intermediario senza detenzione;Piemonte;53;53;54
AL;di cui Produttore;Piemonte;3292;3314;3318
AL;di cui Recuperatore;Piemonte;143;145;146
AL;di cui Smaltitore;Piemonte;41;41;41
AL;di cui Trasportatore;Piemonte;392;392;393
AN;Numero operatori iscritti;Marche;3045;3062;3070
AN;Numero unita locali iscritte;Marche;3815;3840;3852
AN;di cui Centro di raccolta;Marche;26;26;26
AN;di cui Intermediario senza detenzione;Marche;50;50;50
AN;di cui Produttore;Marche;3679;3704;3715
AN;di cui Recuperatore;Marche;182;183;183
AN;di cui Smaltitore;Marche;38;38;38
AN;di cui Trasportatore;Marche;360;360;362
AO;Numero operatori iscritti;Valle d`Aosta;767;773;777
AO;Numero unita locali iscritte;Valle d`Aosta;1041;1052;1057
AO;di cui Centro di raccolta;Valle d`Aosta;30;30;30
AO;di cui Intermediario senza detenzione;Valle d`Aosta;9;9;9
AO;di cui Produttore;Valle d`Aosta;947;959;964
AO;di cui Recuperatore;Valle d`Aosta;36;36;36
AO;di cui Smaltitore;Valle d`Aosta;22;22;22
AO;di cui Trasportatore;Valle d`Aosta;163;166;167
AP;Numero operatori iscritti;Marche;1309;1315;1320
AP;Numero unita locali iscritte;Marche;1620;1632;1639
AP;di cui Centro di raccolta;Marche;12;12;12
AP;di cui Intermediario senza detenzione;Marche;32;32;32
AP;di cui Produttore;Marche;1556;1567;1573
AP;di cui Recuperatore;Marche;69;71;71
AP;di cui Smaltitore;Marche;17;17;17
AP;di cui Trasportatore;Marche;158;158;160
AQ;Numero operatori iscritti;Abruzzo;1502;1517;1529
AQ;Numero unita locali iscritte;Abruzzo;1987;2003;2016
AQ;di cui Centro di raccolta;Abruzzo;26;26;26
AQ;di cui Intermediario senza detenzione;Abruzzo;34;34;34
AQ;di cui Produttore;Abruzzo;1871;1885;1898
AQ;di cui Recuperatore;Abruzzo;83;83;83
AQ;di cui Smaltitore;Abruzzo;37;37;37
AQ;di cui Trasportatore;Abruzzo;296;298;298
AR;Numero operatori iscritti;Toscana;2674;2693;2707
AR;Numero unita locali iscritte;Toscana;3324;3348;3364
AR;di cui Centro di raccolta;Toscana;29;29;29
AR;di cui Intermediario senza detenzione;Toscana;30;30;30
AR;di cui Produttore;Toscana;3179;3202;3216
AR;di cui Recuperatore;Toscana;94;94;95
AR;di cui Smaltitore;Toscana;27;27;27
AR;di cui Trasportatore;Toscana;322;323;327
AT;Numero operatori iscritti;Piemonte;1401;1411;1413
AT;Numero unita locali iscritte;Piemonte;1853;1869;1872
AT;di cui Centro di raccolta;Piemonte;13;13;13
AT;di cui Intermediario senza detenzione;Piemonte;16;16;16
AT;di cui Produttore;Piemonte;1721;1735;1738
AT;di cui Recuperatore;Piemonte;62;62;62
AT;di cui Smaltitore;Piemonte;27;27;27
AT;di cui Trasportatore;Piemonte;245;250;251
AV;Numero operatori iscritti;Campania;2566;2584;2605
AV;Numero unita locali iscritte;Campania;2976;3003;3025
AV;di cui Centro di raccolta;Campania;16;17;17
AV;di cui Intermediario senza detenzione;Campania;61;61;61
AV;di cui Produttore;Campania;2825;2851;2873
AV;di cui Recuperatore;Campania;102;102;102
AV;di cui Smaltitore;Campania;17;17;17
AV;di cui Trasportatore;Campania;351;351;352
BA;Numero operatori iscritti;Puglia;7045;7068;7107
BA;Numero unita locali iscritte;Puglia;8547;8586;8637
BA;di cui Centro di raccolta;Puglia;63;63;63
BA;di cui Intermediario senza detenzione;Puglia;160;160;160
BA;di cui Produttore;Puglia;8113;8150;8198
BA;di cui Recuperatore;Puglia;207;208;208
BA;di cui Smaltitore;Puglia;39;39;39
BA;di cui Trasportatore;Puglia;1098;1101;1107
BG;Numero operatori iscritti;Lombardia;7742;7792;7821
BG;Numero unita locali iscritte;Lombardia;9691;9755;9795
BG;di cui Centro di raccolta;Lombardia;179;182;183
BG;di cui Intermediario senza detenzione;Lombardia;217;219;219
BG;di cui Produttore;Lombardia;9134;9198;9235
BG;di cui Recuperatore;Lombardia;323;325;325
BG;di cui Smaltitore;Lombardia;86;86;86
BG;di cui Trasportatore;Lombardia;1067;1073;1079
BI;Numero operatori iscritti;Piemonte;1228;1235;1239
BI;Numero unita locali iscritte;Piemonte;1415;1424;1428
BI;di cui Centro di raccolta;Piemonte;11;11;11
BI;di cui Intermediario senza detenzione;Piemonte;20;20;20
BI;di cui Produttore;Piemonte;1373;1382;1386
BI;di cui Recuperatore;Piemonte;65;64;64
BI;di cui Smaltitore;Piemonte;8;8;8
BI;di cui Trasportatore;Piemonte;136;137;138
BL;Numero operatori iscritti;Veneto;1342;1355;1358
BL;Numero unita locali iscritte;Veneto;1790;1806;1812
BL;di cui Centro di raccolta;Veneto;45;45;45
BL;di cui Intermediario senza detenzione;Veneto;16;16;16
BL;di cui Produttore;Veneto;1747;1762;1768
BL;di cui Recuperatore;Veneto;42;42;42
BL;di cui Smaltitore;Veneto;28;28;28
BL;di cui Trasportatore;Veneto;104;105;105
BN;Numero operatori iscritti;Campania;1870;1881;1887
BN;Numero unita locali iscritte;Campania;2250;2263;2269
BN;di cui Centro di raccolta;Campania;25;26;26
BN;di cui Intermediario senza detenzione;Campania;49;49;49
BN;di cui Produttore;Campania;2096;2108;2114
BN;di cui Recuperatore;Campania;84;84;84
BN;di cui Smaltitore;Campania;6;6;6
BN;di cui Trasportatore;Campania;291;292;290
