Provincia;Campo;Regione;Var_2026-09-07;Var_2026-09-15
AG;Numero operatori iscritti;Sicilia;20;18
AG;Numero unita locali iscritte;Sicilia;30;22
AG;di cui Centro di raccolta;Sicilia;0;1
AG;di cui Intermediario senza detenzione;Sicilia;0;0
AG;di cui Produttore;Sicilia;27;21
AG;di cui Recuperatore;Sicilia;1;0
AG;di cui Smaltitore;Sicilia;0;0
AG;di cui Trasportatore;Sicilia;7;2
AL;Numero operatori iscritti;Piemonte;21;8
AL;Numero unita locali iscritte;Piemonte;25;6
AL;di cui Centro di raccolta;Piemonte;2;0
AL;di cui Intermediario senza detenzione;Piemonte;0;1
AL;di cui Produttore;Piemonte;22;4
AL;di cui Recuperatore;Piemonte;2;1
AL;di cui Smaltitore;Piemonte;0;0
AL;di cui Trasportatore;Piemonte;0;1
AN;Numero operatori iscritti;Marche;17;8
AN;Numero unita locali iscritte;Marche;25;12
AN;di cui Centro di raccolta;Marche;0;0
AN;di cui Intermediario senza detenzione;Marche;0;0
AN;di cui Produttore;Marche;25;11
AN;di cui Recuperatore;Marche;1;0
AN;di cui Smaltitore;Marche;0;0
AN;di cui Trasportatore;Marche;0;2
AO;Numero operatori iscritti;Valle d`Aosta;6;4
AO;Numero unita locali iscritte;Valle d`Aosta;11;5
AO;di cui Centro di raccolta;Valle d`Aosta;0;0
AO;di cui Intermediario senza detenzione;Valle d`Aosta;0;0
AO;di cui Produttore;Valle d`Aosta;12;5
AO;di cui Recuperatore;Valle d`Aosta;0;0
AO;di cui Smaltitore;Valle d`Aosta;0;0
AO;di cui Trasportatore;Valle d`Aosta;3;1
AP;Numero operatori iscritti;Marche;6;5
AP;Numero unita locali iscritte;Marche;12;7
AP;di cui Centro di raccolta;Marche;0;0
AP;di cui Intermediario senza detenzione;Marche;0;0
AP;di cui Produttore;Marche;11;6
AP;di cui Recuperatore;Marche;2;0
AP;di cui Smaltitore;Marche;0;0
AP;di cui Trasportatore;Marche;0;2
AQ;Numero operatori iscritti;Abruzzo;15;12
AQ;Numero unita locali iscritte;Abruzzo;16;13
AQ;di cui Centro di raccolta;Abruzzo;0;0
AQ;di cui Intermediario senza detenzione;Abruzzo;0;0
AQ;di cui Produttore;Abruzzo;14;13
AQ;di cui Recuperatore;Abruzzo;0;0
AQ;di cui Smaltitore;Abruzzo;0;0
AQ;di cui Trasportatore;Abruzzo;2;0
AR;Numero operatori iscritti;Toscana;19;14
AR;Numero unita locali iscritte;Toscana;24;16
AR;di cui Centro di raccolta;Toscana;0;0
AR;di cui Intermediario senza detenzione;Toscana;0;0
AR;di cui Produttore;Toscana;23;14
AR;di cui Recuperatore;Toscana;0;1
AR;di cui Smaltitore;Toscana;0;0
AR;di cui Trasportatore;Toscana;1;4
AT;Numero operatori iscritti;Piemonte;10;2
AT;Numero unita locali iscritte;Piemonte;16;3
AT;di cui Centro di raccolta;Piemonte;0;0
AT;di cui Intermediario senza detenzione;Piemonte;0;0
AT;di cui Produttore;Piemonte;14;3
AT;di cui Recuperatore;Piemonte;0;0
AT;di cui Smaltitore;Piemonte;0;0
AT;di cui Trasportatore;Piemonte;5;1
AV;Numero operatori iscritti;Campania;18;21
AV;Numero unita locali iscritte;Campania;27;22
AV;di cui Centro di raccolta;Campania;1;0
AV;di cui Intermediario senza detenzione;Campania;0;0
AV;di cui Produttore;Campania;26;22
AV;di cui Recuperatore;Campania;0;0
AV;di cui Smaltitore;Campania;0;0
AV;di cui Trasportatore;Campania;0;1
BA;Numero operatori iscritti;Puglia;23;39
BA;Numero unita locali iscritte;Puglia;39;51
BA;di cui Centro di raccolta;Puglia;0;0
BA;di cui Intermediario senza detenzione;Puglia;0;0
BA;di cui Produttore;Puglia;37;48
BA;di cui Recuperatore;Puglia;1;0
BA;di cui Smaltitore;Puglia;0;0
BA;di cui Trasportatore;Puglia;3;6
BG;Numero operatori iscritti;Lombardia;50;29
BG;Numero unita locali iscritte;Lombardia;64;40
BG;di cui Centro di raccolta;Lombardia;3;1
BG;di cui Intermediario senza detenzione;Lombardia;2;0
BG;di cui Produttore;Lombardia;64;37
BG;di cui Recuperatore;Lombardia;2;0
BG;di cui Smaltitore;Lombardia;0;0
BG;di cui Trasportatore;Lombardia;6;6
BI;Numero operatori iscritti;Piemonte;7;4
BI;Numero unita locali iscritte;Piemonte;9;4
BI;di cui Centro di raccolta;Piemonte;0;0
BI;di cui Intermediario senza detenzione;Piemonte;0;0
BI;di cui Produttore;Piemonte;9;4
BI;di cui Recuperatore;Piemonte;-1;0
BI;di cui Smaltitore;Piemonte;0;0
BI;di cui Trasportatore;Piemonte;1;1
BL;Numero operatori iscritti;Veneto;13;3
BL;Numero unita locali iscritte;Veneto;16;6
BL;di cui Centro di raccolta;Veneto;0;0
BL;di cui Intermediario senza detenzione;Veneto;0;0
BL;di cui Produttore;Veneto;15;6
BL;di cui Recuperatore;Veneto;0;0
BL;di cui Smaltitore;Veneto;0;0
BL;di cui Trasportatore;Veneto;1;0
BN;Numero operatori iscritti;Campania;11;6
BN;Numero unita locali iscritte;Campania;13;6
BN;di cui Centro di raccolta;Campania;1;0
BN;di cui Intermediario senza detenzione;Campania;0;0
BN;di cui Produttore;Campania;12;6
BN;di cui Recuperatore;Campania;0;0
BN;di cui Smaltitore;Campania;0;0
BN;di cui Trasportatore;Campania;1;-2
BO;Numero operatori iscritti;Emilia Romagna;30;22
BO;Numero unita locali iscritte;Emilia Romagna;51;32
BO;di cui Centro di raccolta;Emilia Romagna;0;1
BO;di cui Intermediario senza detenzione;Emilia Romagna;2;0
BO;di cui Produttore;Emilia Romagna;50;31
BO;di cui Recuperatore;Emilia Romagna;0;0
BO;di cui Smaltitore;Emilia Romagna;0;0
BO;di cui Trasportatore;Emilia Romagna;11;2
BR;Numero operatori iscritti;Puglia;10;23
BR;Numero unita locali iscritte;Puglia;14;25
BR;di cui Centro di raccolta;Puglia;0;0
BR;di cui Intermediario senza detenzione;Puglia;0;0
BR;di cui Produttore;Puglia;14;24
BR;di cui Recuperatore;Puglia;0;1
BR;di cui Smaltitore;Puglia;0;0
BR;di cui Trasportatore;Puglia;1;0
BS;Numero operatori iscritti;Lombardia;61;39
BS;Numero unita locali iscritte;Lombardia;88;51
BS;di cui Centro di raccolta;Lombardia;0;0
BS;di cui Intermediario senza detenzione;Lombardia;3;1
BS;di cui Produttore;Lombardia;84;46
BS;di cui Recuperatore;Lombardia;4;3
BS;di cui Smaltitore;Lombardia;1;1
BS;di cui Trasportatore;Lombardia;10;5
BT;Numero operatori iscritti;Puglia;22;13
BT;Numero unita locali iscritte;Puglia;25;16
BT;di cui Centro di raccolta;Puglia;0;0
BT;di cui Intermediario senza detenzione;Puglia;1;0
BT;di cui Produttore;Puglia;24;15
BT;di cui Recuperatore;Puglia;0;0
BT;di cui Smaltitore;Puglia;0;0
BT;di cui Trasportatore;Puglia;1;1
BZ;Numero operatori iscritti;Trentino Alto Adige;33;18
BZ;Numero unita locali iscritte;Trentino Alto Adige;40;21
BZ;di cui Centro di raccolta;Trentino Alto Adige;0;0
