data_snapshot,report_id,anni_coperti,n_righe,timestamp
2026-08-03,57,2026,1132,2026-08-03T15:00:41
2026-08-03,56,2026,37496,2026-08-03T15:06:19
2026-08-03,58,2026,42967,2026-08-03T15:13:36
2026-08-03,59,,888,2026-08-03T15:13:41
2026-09-07,57,2026,1143,2026-09-07T17:04:50
2026-09-07,56,2026,38380,2026-09-07T17:10:18
2026-09-07,58,2026,44663,2026-09-07T17:18:22
2026-09-07,59,,888,2026-09-07T17:18:25
2026-09-15,57,2026,1143,2026-09-15T11:51:19
2026-09-15,56,2026,38556,2026-09-15T11:55:58
2026-09-15,58,2026,44917,2026-09-15T12:02:42
2026-09-15,59,,888,2026-09-15T12:02:46
