Anno;Provincia produttore;Regione;Materiale;Materiale_ID;Quantita;Unita di misura
2025;AG;Sicilia;Ammendante compostato verde;1;315230;kg
2025;AG;Sicilia;Ammendante compostato misto;2;21436088;kg
2025;AG;Sicilia;Aggregati riciclati;5;82857658;kg
2025;AG;Sicilia;Rottami di ferro e acciaio;8;2173560;kg
2025;AG;Sicilia;Carta e cartone;10;12628166;kg
2025;AG;Sicilia;Plastica;11;8014;kg
2025;AG;Sicilia;Tessili;14;161776;kg
2025;AG;Sicilia;Altri Fertilizzanti;19;66420;kg
2025;AG;Sicilia;Altro;23;2981936;kg
2025;AL;Piemonte;Ammendante compostato misto;2;1266580;kg
2025;AL;Piemonte;Aggregati riciclati;5;332199106;kg
2025;AL;Piemonte;Rottami di alluminio;6;2468388;kg
2025;AL;Piemonte;Rottami di ferro e acciaio;8;12956259;kg
2025;AL;Piemonte;Rottami di rame;9;1271202;kg
2025;AL;Piemonte;Carta e cartone;10;45468567;kg
2025;AL;Piemonte;Plastica;11;10374802;kg
2025;AL;Piemonte;Legno e sughero;12;2585274;kg
2025;AL;Piemonte;CSS – combustibile;13;6551740;kg
2025;AL;Piemonte;Tessili;14;59821;kg
2025;AL;Piemonte;Granulato di Conglomerato bituminoso;20;98787153;kg
2025;AL;Piemonte;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;11816224;kg
2025;AL;Piemonte;Altro;23;29586631;kg
2025;AN;Marche;Ammendante compostato verde;1;1940585;kg
2025;AN;Marche;Ammendante compostato misto;2;921160;kg
2025;AN;Marche;Aggregati riciclati;5;271645474;kg
2025;AN;Marche;Rottami di alluminio;6;1383080;kg
2025;AN;Marche;Rottami di vetro;7;4900;kg
2025;AN;Marche;Rottami di ferro e acciaio;8;84440968;kg
2025;AN;Marche;Rottami di rame;9;37479;kg
2025;AN;Marche;Carta e cartone;10;49611495;kg
2025;AN;Marche;Plastica;11;1442824;kg
2025;AN;Marche;Legno e sughero;12;5139170;kg
2025;AN;Marche;CSS – combustibile;13;1680000;kg
2025;AN;Marche;Gomma;15;2569087;kg
2025;AN;Marche;Granulato di Conglomerato bituminoso;20;55156645;kg
2025;AN;Marche;Altro;23;21590472;kg
2025;AO;Valle d`Aosta;Ammendante compostato verde;1;88130;kg
2025;AO;Valle d`Aosta;Aggregati riciclati;5;32221081;kg
2025;AO;Valle d`Aosta;Rottami di alluminio;6;98270;kg
2025;AO;Valle d`Aosta;Rottami di ferro e acciaio;8;7089389;kg
2025;AO;Valle d`Aosta;Rottami di rame;9;7160;kg
2025;AO;Valle d`Aosta;Carta e cartone;10;8982290;kg
2025;AO;Valle d`Aosta;Granulato di Conglomerato bituminoso;20;128680;kg
2025;AP;Marche;Aggregati riciclati;5;268711351;kg
2025;AP;Marche;Rottami di alluminio;6;110327;kg
2025;AP;Marche;Rottami di ferro e acciaio;8;25048957;kg
2025;AP;Marche;Rottami di rame;9;23966;kg
2025;AP;Marche;Carta e cartone;10;27133505;kg
2025;AP;Marche;Plastica;11;919754;kg
2025;AP;Marche;Legno e sughero;12;2561538;kg
2025;AP;Marche;Gomma;15;1577810;kg
2025;AP;Marche;Granulato di Conglomerato bituminoso;20;25651255;kg
2025;AP;Marche;Altro;23;14188086;kg
2025;AQ;Abruzzo;Aggregati riciclati;5;504657777;kg
2025;AQ;Abruzzo;Rottami di ferro e acciaio;8;3233845;kg
2025;AQ;Abruzzo;Rottami di rame;9;55685;kg
2025;AQ;Abruzzo;Carta e cartone;10;5645260;kg
2025;AQ;Abruzzo;Plastica;11;10728;kg
2025;AQ;Abruzzo;Granulato di Conglomerato bituminoso;20;38620790;kg
2025;AQ;Abruzzo;Altro;23;4098096;kg
2025;AR;Toscana;Ammendante compostato misto;2;183000;kg
2025;AR;Toscana;Aggregati riciclati;5;36826225;kg
2025;AR;Toscana;Rottami di ferro e acciaio;8;14227218;kg
2025;AR;Toscana;Rottami di rame;9;292200;kg
2025;AR;Toscana;Carta e cartone;10;57435455;kg
2025;AR;Toscana;Plastica;11;7915698;kg
2025;AR;Toscana;Legno e sughero;12;5795680;kg
2025;AR;Toscana;Tessili;14;209020;kg
2025;AR;Toscana;Granulato di Conglomerato bituminoso;20;52493198;kg
2025;AR;Toscana;Altro;23;13755;kg
2025;AT;Piemonte;Aggregati riciclati;5;173814777;kg
2025;AT;Piemonte;Rottami di alluminio;6;30320;kg
2025;AT;Piemonte;Rottami di ferro e acciaio;8;71954630;kg
2025;AT;Piemonte;Rottami di rame;9;340;kg
2025;AT;Piemonte;Carta e cartone;10;12209940;kg
2025;AT;Piemonte;Plastica;11;175740;kg
2025;AT;Piemonte;Correttivi da Fanghi;18;16308160;kg
2025;AT;Piemonte;Altro;23;44084821;kg
2025;AV;Campania;Ammendante compostato misto;2;488654;kg
2025;AV;Campania;Aggregati riciclati;5;501706210;kg
2025;AV;Campania;Rottami di alluminio;6;262214;kg
2025;AV;Campania;Rottami di ferro e acciaio;8;24578322;kg
2025;AV;Campania;Rottami di rame;9;24144;kg
2025;AV;Campania;Carta e cartone;10;10522703;kg
2025;AV;Campania;Plastica;11;12956200;kg
2025;AV;Campania;Legno e sughero;12;78770;kg
2025;AV;Campania;Tessili;14;11491;kg
2025;AV;Campania;Gomma;15;1180000;kg
2025;AV;Campania;Granulato di Conglomerato bituminoso;20;60985670;kg
2025;AV;Campania;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;227440;kg
2025;AV;Campania;Altro;23;59224701;kg
2025;BA;Puglia;Aggregati riciclati;5;1090894768;kg
2025;BA;Puglia;Rottami di alluminio;6;4944948;kg
2025;BA;Puglia;Rottami di ferro e acciaio;8;77759008;kg
2025;BA;Puglia;Rottami di rame;9;947283;kg
2025;BA;Puglia;Carta e cartone;10;47001278;kg
2025;BA;Puglia;Plastica;11;13627238;kg
2025;BA;Puglia;Legno e sughero;12;20418950;kg
2025;BA;Puglia;Granulato di Conglomerato bituminoso;20;36799090;kg
2025;BA;Puglia;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;334940;kg
2025;BA;Puglia;Gomma vulcanizzata da PFU;22;29850183;kg
2025;BA;Puglia;Altro;23;29990676;kg
2025;BG;Lombardia;Ammendante compostato verde;1;12101714;kg
2025;BG;Lombardia;Ammendante compostato misto;2;126691460;kg
2025;BG;Lombardia;Altri Ammendanti;3;80697000;kg
2025;BG;Lombardia;Aggregati riciclati;5;1676532426;kg
2025;BG;Lombardia;Rottami di alluminio;6;47408222;kg
2025;BG;Lombardia;Rottami di vetro;7;15177760;kg
2025;BG;Lombardia;Rottami di ferro e acciaio;8;585243827;kg
2025;BG;Lombardia;Rottami di rame;9;7082750;kg
2025;BG;Lombardia;Carta e cartone;10;100572168;kg
2025;BG;Lombardia;Plastica;11;119199228;kg
2025;BG;Lombardia;Legno e sughero;12;1108116;kg
2025;BG;Lombardia;Tessili;14;1558182;kg
2025;BG;Lombardia;Granulato di Conglomerato bituminoso;20;214612680;kg
2025;BG;Lombardia;Gomma vulcanizzata da PFU;22;3970608;kg
2025;BG;Lombardia;Altro;23;390940761;kg
2025;BI;Piemonte;Ammendante compostato verde;1;171450;kg
2025;BI;Piemonte;Ammendante compostato misto;2;340;kg
2025;BI;Piemonte;Aggregati riciclati;5;353850475;kg
2025;BI;Piemonte;Rottami di alluminio;6;110135;kg
2025;BI;Piemonte;Rottami di vetro;7;28358668;kg
2025;BI;Piemonte;Rottami di ferro e acciaio;8;11452950;kg
2025;BI;Piemonte;Rottami di rame;9;5560;kg
2025;BI;Piemonte;Carta e cartone;10;17868850;kg
2025;BI;Piemonte;Plastica;11;0;
2025;BI;Piemonte;Plastica;11;4362937;kg
2025;BI;Piemonte;Legno e sughero;12;567515;kg
2025;BI;Piemonte;CSS – combustibile;13;2304200;kg
2025;BI;Piemonte;Materiali ceramici;17;2027490;kg
2025;BI;Piemonte;Granulato di Conglomerato bituminoso;20;154520540;kg
2025;BI;Piemonte;Altro;23;12304879;kg
2025;BL;Veneto;Digestato;4;600000;kg
2025;BL;Veneto;Aggregati riciclati;5;181073821;kg
2025;BL;Veneto;Rottami di alluminio;6;1318071;kg
2025;BL;Veneto;Rottami di ferro e acciaio;8;5169042;kg
2025;BL;Veneto;Rottami di rame;9;410126;kg
2025;BL;Veneto;Carta e cartone;10;1998660;kg
2025;BL;Veneto;Plastica;11;413302;kg
2025;BL;Veneto;Legno e sughero;12;3626;kg
2025;BL;Veneto;Granulato di Conglomerato bituminoso;20;1136395;kg
2025;BL;Veneto;Altro;23;2421103;kg
2025;BN;Campania;Ammendante compostato misto;2;1169860;kg
2025;BN;Campania;Digestato;4;293230;kg
2025;BN;Campania;Aggregati riciclati;5;153180035;kg
2025;BN;Campania;Rottami di ferro e acciaio;8;15791195;kg
2025;BN;Campania;Rottami di rame;9;2285;kg
2025;BN;Campania;Carta e cartone;10;11627388;kg
2025;BN;Campania;Plastica;11;2513749;kg
2025;BN;Campania;Tessili;14;3490644;kg
2025;BN;Campania;Granulato di Conglomerato bituminoso;20;12409346;kg
2025;BN;Campania;Altro;23;64347330;kg
2025;BO;Emilia Romagna;Ammendante compostato verde;1;5395910;kg
2025;BO;Emilia Romagna;Ammendante compostato misto;2;15268390;kg
2025;BO;Emilia Romagna;Altri Ammendanti;3;798810;kg
2025;BO;Emilia Romagna;Aggregati riciclati;5;953338568;kg
2025;BO;Emilia Romagna;Rottami di alluminio;6;8367704;kg
2025;BO;Emilia Romagna;Rottami di vetro;7;200240;kg
2025;BO;Emilia Romagna;Rottami di ferro e acciaio;8;200386581;kg
2025;BO;Emilia Romagna;Rottami di rame;9;6306629;kg
2025;BO;Emilia Romagna;Carta e cartone;10;115915277;kg
2025;BO;Emilia Romagna;Plastica;11;3870409;kg
2025;BO;Emilia Romagna;Legno e sughero;12;10121073;kg
2025;BO;Emilia Romagna;CSS – combustibile;13;2000000;kg
2025;BO;Emilia Romagna;Tessili;14;1075918;kg
2025;BO;Emilia Romagna;Granulato di Conglomerato bituminoso;20;109512329;kg
2025;BO;Emilia Romagna;Gomma vulcanizzata da PFU;22;730881;kg
2025;BO;Emilia Romagna;Altro;23;152397250;kg
2025;BR;Puglia;Ammendante compostato misto;2;11281590;kg
2025;BR;Puglia;Altri Ammendanti;3;64300;kg
2025;BR;Puglia;Aggregati riciclati;5;405404384;kg
2025;BR;Puglia;Rottami di alluminio;6;269090;kg
2025;BR;Puglia;Rottami di ferro e acciaio;8;30776141;kg
2025;BR;Puglia;Rottami di rame;9;6590;kg
2025;BR;Puglia;Carta e cartone;10;2995580;kg
2025;BR;Puglia;Plastica;11;723490;kg
2025;BR;Puglia;Legno e sughero;12;50510;kg
2025;BR;Puglia;Tessili;14;75517;kg
2025;BR;Puglia;Granulato di Conglomerato bituminoso;20;1861860;kg
2025;BR;Puglia;Altro;23;14406286;kg
2025;BS;Lombardia;Ammendante compostato verde;1;62442775;kg
2025;BS;Lombardia;Aggregati riciclati;5;2760538896;kg
2025;BS;Lombardia;Rottami di alluminio;6;0;
2025;BS;Lombardia;Rottami di alluminio;6;264308301;kg
2025;BS;Lombardia;Rottami di vetro;7;61867810;kg
2025;BS;Lombardia;Rottami di ferro e acciaio;8;0;
2025;BS;Lombardia;Rottami di ferro e acciaio;8;840077274;kg
2025;BS;Lombardia;Rottami di rame;9;0;
2025;BS;Lombardia;Rottami di rame;9;32888376;kg
2025;BS;Lombardia;Carta e cartone;10;105613307;kg
2025;BS;Lombardia;Plastica;11;49556055;kg
2025;BS;Lombardia;Legno e sughero;12;11571727;kg
2025;BS;Lombardia;CSS – combustibile;13;15449400;kg
2025;BS;Lombardia;Tessili;14;398875;kg
2025;BS;Lombardia;Gomma;15;378800;kg
2025;BS;Lombardia;Granulato di Conglomerato bituminoso;20;212264902;kg
2025;BS;Lombardia;Gomma vulcanizzata da PFU;22;12187860;kg
2025;BS;Lombardia;Altro;23;0;
2025;BS;Lombardia;Altro;23;992945039;kg
2025;BT;Puglia;Altri Ammendanti;3;129000;kg
2025;BT;Puglia;Aggregati riciclati;5;112080820;kg
2025;BT;Puglia;Rottami di alluminio;6;1319492;kg
2025;BT;Puglia;Rottami di ferro e acciaio;8;16206004;kg
2025;BT;Puglia;Rottami di rame;9;1459364;kg
2025;BT;Puglia;Carta e cartone;10;23341916;kg
2025;BT;Puglia;Plastica;11;6990183;kg
2025;BT;Puglia;CSS – combustibile;13;38953710;kg
2025;BT;Puglia;Tessili;14;1825089;kg
2025;BT;Puglia;Granulato di Conglomerato bituminoso;20;16623870;kg
2025;BT;Puglia;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;6482;kg
2025;BT;Puglia;Altro;23;4317683;kg
2025;BZ;Trentino Alto Adige;Ammendante compostato verde;1;0;
2025;BZ;Trentino Alto Adige;Ammendante compostato verde;1;1445225;kg
2025;BZ;Trentino Alto Adige;Ammendante compostato misto;2;0;
2025;BZ;Trentino Alto Adige;Ammendante compostato misto;2;4697270;kg
2025;BZ;Trentino Alto Adige;Altri Ammendanti;3;52800;kg
2025;BZ;Trentino Alto Adige;Digestato;4;100000;kg
2025;BZ;Trentino Alto Adige;Aggregati riciclati;5;0;
2025;BZ;Trentino Alto Adige;Aggregati riciclati;5;950868638;kg
2025;BZ;Trentino Alto Adige;Rottami di alluminio;6;202621;kg
2025;BZ;Trentino Alto Adige;Rottami di vetro;7;236850;kg
2025;BZ;Trentino Alto Adige;Rottami di ferro e acciaio;8;0;
2025;BZ;Trentino Alto Adige;Rottami di ferro e acciaio;8;32579299;kg
2025;BZ;Trentino Alto Adige;Rottami di rame;9;102030;kg
2025;BZ;Trentino Alto Adige;Carta e cartone;10;0;
2025;BZ;Trentino Alto Adige;Carta e cartone;10;28971021;kg
2025;BZ;Trentino Alto Adige;Plastica;11;0;
2025;BZ;Trentino Alto Adige;Plastica;11;3560826;kg
2025;BZ;Trentino Alto Adige;Legno e sughero;12;0;
2025;BZ;Trentino Alto Adige;Legno e sughero;12;7994001;kg
2025;BZ;Trentino Alto Adige;CSS – combustibile;13;16780;kg
2025;BZ;Trentino Alto Adige;Gomma;15;0;
2025;BZ;Trentino Alto Adige;Gomma;15;5064534;kg
2025;BZ;Trentino Alto Adige;Granulato di Conglomerato bituminoso;20;0;
2025;BZ;Trentino Alto Adige;Granulato di Conglomerato bituminoso;20;20465736;kg
2025;BZ;Trentino Alto Adige;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;0;
2025;BZ;Trentino Alto Adige;Materiali secondari derivanti dal recupero di prodotti assorbenti per la persona;21;70970;kg
2025;BZ;Trentino Alto Adige;Altro;23;0;
2025;BZ;Trentino Alto Adige;Altro;23;34816347;kg
2025;CA;Sardegna;Ammendante compostato verde;1;2750590;kg
2025;CA;Sardegna;Aggregati riciclati;5;440612655;kg
2025;CA;Sardegna;Rottami di ferro e acciaio;8;30368427;kg
2025;CA;Sardegna;Carta e cartone;10;18638559;kg
2025;CA;Sardegna;Plastica;11;761382;kg
2025;CA;Sardegna;Legno e sughero;12;5364;kg
2025;CA;Sardegna;Granulato di Conglomerato bituminoso;20;7487381;kg
2025;CA;Sardegna;Altro;23;14340650;kg
2025;CB;Molise;Altri Ammendanti;3;650000;kg
2025;CB;Molise;Aggregati riciclati;5;49183086;kg
2025;CB;Molise;Rottami di alluminio;6;11840;kg
2025;CB;Molise;Rottami di ferro e acciaio;8;3201263;kg
2025;CB;Molise;Carta e cartone;10;3959130;kg
2025;CB;Molise;Plastica;11;55293;kg
2025;CB;Molise;Granulato di Conglomerato bituminoso;20;121485253;kg
2025;CB;Molise;Altro;23;10680466;kg
2025;CE;Campania;Ammendante compostato verde;1;2075590;kg
2025;CE;Campania;Altri Ammendanti;3;943730;kg
2025;CE;Campania;Aggregati riciclati;5;933584795;kg
2025;CE;Campania;Rottami di alluminio;6;6203990;kg
2025;CE;Campania;Rottami di vetro;7;480;kg
2025;CE;Campania;Rottami di ferro e acciaio;8;44208386;kg
2025;CE;Campania;Rottami di rame;9;4638868;kg
2025;CE;Campania;Carta e cartone;10;78557090;kg
2025;CE;Campania;Plastica;11;13769583;kg
2025;CE;Campania;Legno e sughero;12;2110546;kg
2025;CE;Campania;CSS – combustibile;13;34079;kg
2025;CE;Campania;Tessili;14;62196076;kg
2025;CE;Campania;Gomma;15;46700;kg
