Anno;Provincia impianto;Regione;Codice EER;Pericoloso;Descrizione EER;Attivita a destinazione;Tipo operazione;Quantita;Unita di misura
2024;VE;Veneto;160104;P;veicoli fuori uso;R13;R;1260;kg
2025;AG;Sicilia;010408;NP;scarti di ghiaia e pietrisco, diversi da quelli di cui alla voce 01 04 07;R5;R;38900;kg
2025;AG;Sicilia;010413;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R10;R;59500;kg
2025;AG;Sicilia;010413;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R5;R;204860;kg
2025;AG;Sicilia;010506;P;fanghi di perforazione ed altri rifiuti di perforazione contenenti sostanze pericolose;D9;D;30600;kg
2025;AG;Sicilia;010507;NP;fanghi e rifiuti di perforazione contenenti barite, diversi da quelli delle voci 01 05 05 e 01 05 06;D8;D;60140;kg
2025;AG;Sicilia;010507;NP;fanghi e rifiuti di perforazione contenenti barite, diversi da quelli delle voci 01 05 05 e 01 05 06;D9;D;97400;kg
2025;AG;Sicilia;020103;NP;scarti di tessuti vegetali;R13;R;11360;kg
2025;AG;Sicilia;020103;NP;scarti di tessuti vegetali;R3;R;203660;kg
2025;AG;Sicilia;020106;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;D8;D;64580;kg
2025;AG;Sicilia;020106;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R13;R;238520;kg
2025;AG;Sicilia;020106;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;R3;R;274449;kg
2025;AG;Sicilia;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;D9;D;24560;kg
2025;AG;Sicilia;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;60;kg
2025;AG;Sicilia;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R3;R;122100;kg
2025;AG;Sicilia;020501;NP;scarti inutilizzabili per il consumo o la trasformazione;R3;R;5660;kg
2025;AG;Sicilia;020701;NP;rifiuti prodotti dalle operazioni di lavaggio, pulizia e macinazione della materia prima;D8;D;19420;kg
2025;AG;Sicilia;020704;NP;scarti inutilizzabili per il consumo o la trasformazione;D13;D;10180;kg
2025;AG;Sicilia;020705;NP;fanghi da trattamento in loco degli effluenti;D8;D;4780;kg
2025;AG;Sicilia;050109;P;fanghi prodotti dal trattamento in loco degli effluenti, contenenti sostanze pericolose;D9;D;220460;kg
2025;AG;Sicilia;070611;P;fanghi prodotti dal trattamento in loco di effluenti contenenti sostanze pericolose;D9;D;11160;kg
2025;AG;Sicilia;070612;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D9;D;12180;kg
2025;AG;Sicilia;080308;NP;rifiuti liquidi acquosi contenenti inchiostro;D9;D;440240;kg
2025;AG;Sicilia;100126;NP;rifiuti prodotti dal trattamento delle acque di raffreddamento;D9;D;157440;kg
2025;AG;Sicilia;100202;NP;scorie non trattate;R13;R;82400;kg
2025;AG;Sicilia;100202;NP;scorie non trattate;R5;R;1745570;kg
2025;AG;Sicilia;110105;P;acidi di decappaggio;D9;D;1584440;kg
2025;AG;Sicilia;110106;P;acidi non specificati altrimenti;D9;D;112500;kg
2025;AG;Sicilia;110107;P;basi di decappaggio;D9;D;14900;kg
2025;AG;Sicilia;110112;NP;soluzioni acquose di lavaggio, diverse da quelle di cui alla voce 11 01 11;D8;D;18760;kg
2025;AG;Sicilia;110113;P;rifiuti di sgrassaggio contenenti sostanze pericolose;D9;D;46640;kg
2025;AG;Sicilia;120101;NP;limatura e trucioli di metalli ferrosi;R4;R;33335;kg
2025;AG;Sicilia;130109;P;oli minerali per circuiti idraulici, clorurati;R13;R;39;kg
2025;AG;Sicilia;130403;P;oli di sentina da un altro tipo di navigazione;D9;D;113240;kg
2025;AG;Sicilia;130506;P;oli prodotti da separatori olio/acqua;D9;D;695900;kg
2025;AG;Sicilia;130802;P;altre emulsioni;D9;D;52640;kg
2025;AG;Sicilia;150101;NP;imballaggi di carta e cartone;R12;R;20000;kg
2025;AG;Sicilia;150101;NP;imballaggi di carta e cartone;R13;R;422520;kg
2025;AG;Sicilia;150101;NP;imballaggi di carta e cartone;R3;R;12909515;kg
2025;AG;Sicilia;150102;NP;imballaggi di plastica;R12;R;16475694;kg
2025;AG;Sicilia;150102;NP;imballaggi di plastica;R13;R;14840;kg
2025;AG;Sicilia;150102;NP;imballaggi di plastica;R3;R;507566;kg
2025;AG;Sicilia;150103;NP;imballaggi in legno;R12;R;3060;kg
2025;AG;Sicilia;150103;NP;imballaggi in legno;R13;R;30135;kg
2025;AG;Sicilia;150103;NP;imballaggi in legno;R3;R;56970;kg
2025;AG;Sicilia;150104;NP;imballaggi metallici;R12;R;71865;kg
2025;AG;Sicilia;150106;NP;imballaggi in materiali misti;D15;D;139340;kg
2025;AG;Sicilia;150106;NP;imballaggi in materiali misti;R12;R;12112960;kg
2025;AG;Sicilia;150106;NP;imballaggi in materiali misti;R13;R;43410;kg
2025;AG;Sicilia;150106;NP;imballaggi in materiali misti;R3;R;10333998;kg
2025;AG;Sicilia;150107;NP;imballaggi di vetro;R12;R;3867540;kg
2025;AG;Sicilia;150107;NP;imballaggi di vetro;R3;R;259346;kg
2025;AG;Sicilia;150203;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;R13;R;58;kg
2025;AG;Sicilia;160104;P;veicoli fuori uso;R12;R;2567370;kg
2025;AG;Sicilia;160104;P;veicoli fuori uso;R13;R;3368144;kg
2025;AG;Sicilia;160104;P;veicoli fuori uso;R4;R;2212138;kg
2025;AG;Sicilia;160106;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R12;R;1372930;kg
2025;AG;Sicilia;160106;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R13;R;1530713;kg
2025;AG;Sicilia;160106;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R4;R;777750;kg
2025;AG;Sicilia;160118;NP;metalli non ferrosi;R4;R;6406;kg
2025;AG;Sicilia;160119;NP;plastica;R12;R;2000;kg
2025;AG;Sicilia;160119;NP;plastica;R13;R;720;kg
2025;AG;Sicilia;160119;NP;plastica;R3;R;52093;kg
2025;AG;Sicilia;160120;NP;vetro;R13;R;170;kg
2025;AG;Sicilia;160120;NP;vetro;R5;R;12590;kg
2025;AG;Sicilia;160211;P;apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC;R4;R;745;kg
2025;AG;Sicilia;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R12;R;230;kg
2025;AG;Sicilia;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R13;R;13302;kg
2025;AG;Sicilia;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R4;R;102190;kg
2025;AG;Sicilia;160216;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;R4;R;80;kg
2025;AG;Sicilia;160304;NP;rifiuti inorganici, diversi da quelli di cui alla voce 16 03 03;D9;D;85740;kg
2025;AG;Sicilia;160306;NP;rifiuti organici diversi da quelli di cui alla voce 16 03 05;D9;D;500;kg
2025;AG;Sicilia;161001;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;D9;D;3522460;kg
2025;AG;Sicilia;161002;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D8;D;4254789;kg
2025;AG;Sicilia;161002;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D9;D;160098640;kg
2025;AG;Sicilia;161004;NP;concentrati acquosi, diversi da quelli di cui alla voce 16 10 03;D9;D;974300;kg
2025;AG;Sicilia;161106;NP;rivestimenti e materiali refrattari provenienti da lavorazioni non metallurgiche, diversi da quelli di cui alla voce 16 11 05;R5;R;16160;kg
2025;AG;Sicilia;170101;NP;cemento;R10;R;324060;kg
2025;AG;Sicilia;170101;NP;cemento;R5;R;11348690;kg
2025;AG;Sicilia;170102;NP;mattoni;R5;R;4800;kg
2025;AG;Sicilia;170103;NP;mattonelle e ceramiche;R10;R;55500;kg
2025;AG;Sicilia;170103;NP;mattonelle e ceramiche;R5;R;24840;kg
2025;AG;Sicilia;170107;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R5;R;326910;kg
2025;AG;Sicilia;170201;NP;legno;R12;R;40440;kg
2025;AG;Sicilia;170201;NP;legno;R13;R;132988;kg
2025;AG;Sicilia;170202;NP;vetro;R12;R;30560;kg
2025;AG;Sicilia;170202;NP;vetro;R13;R;1580;kg
2025;AG;Sicilia;170202;NP;vetro;R5;R;25660;kg
2025;AG;Sicilia;170203;NP;plastica;R12;R;505340;kg
2025;AG;Sicilia;170203;NP;plastica;R13;R;221870;kg
2025;AG;Sicilia;170203;NP;plastica;R3;R;416370;kg
2025;AG;Sicilia;170203;NP;plastica;R5;R;1320;kg
2025;AG;Sicilia;170302;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R13;R;160;kg
2025;AG;Sicilia;170302;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R5;R;34526670;kg
2025;AG;Sicilia;170402;NP;alluminio;R13;R;1427;kg
2025;AG;Sicilia;170402;NP;alluminio;R4;R;675442;kg
2025;AG;Sicilia;170404;NP;zinco;R4;R;198;kg
2025;AG;Sicilia;170405;NP;ferro e acciaio;R12;R;1540;kg
2025;AG;Sicilia;170405;NP;ferro e acciaio;R13;R;1948;kg
2025;AG;Sicilia;170405;NP;ferro e acciaio;R4;R;2105260;kg
2025;AG;Sicilia;170405;NP;ferro e acciaio;R5;R;3020;kg
2025;AG;Sicilia;170407;NP;metalli misti;R4;R;183450;kg
2025;AG;Sicilia;170504;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R10;R;55360120;kg
2025;AG;Sicilia;170504;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R13;R;624810;kg
2025;AG;Sicilia;170504;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R5;R;103565160;kg
2025;AG;Sicilia;170506;NP;materiale di dragaggio, diverso da quello di cui alla voce 17 05 05;R5;R;14450000;kg
2025;AG;Sicilia;170508;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R5;R;3502790;kg
2025;AG;Sicilia;170604;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;R12;R;3960;kg
2025;AG;Sicilia;170802;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R5;R;41527;kg
2025;AG;Sicilia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;D1;D;65700;kg
2025;AG;Sicilia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R10;R;1878560;kg
2025;AG;Sicilia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R13;R;1845460;kg
2025;AG;Sicilia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R5;R;86200121;kg
2025;AG;Sicilia;180106;P;sostanze chimiche pericolose o contenenti sostanze pericolose;D9;D;264540;kg
2025;AG;Sicilia;190114;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;R13;R;1200;kg
2025;AG;Sicilia;190114;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;R5;R;17884;kg
2025;AG;Sicilia;190204;P;Rifiuti premiscelati contenenti almeno un rifiuto pericoloso;D9;D;49820;kg
2025;AG;Sicilia;190501;NP;parte di rifiuti urbani e simili non compostata;;;945912;kg
2025;AG;Sicilia;190703;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D8;D;5763190;kg
2025;AG;Sicilia;190703;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D9;D;57916500;kg
2025;AG;Sicilia;190802;NP;rifiuti da dissabbiamento;D8;D;49731;kg
2025;AG;Sicilia;190802;NP;rifiuti da dissabbiamento;D9;D;279904;kg
2025;AG;Sicilia;190805;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D8;D;242269;kg
2025;AG;Sicilia;190805;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D9;D;437496;kg
2025;AG;Sicilia;190805;NP;fanghi prodotti dal trattamento delle acque reflue urbane;R13;R;59620;kg
2025;AG;Sicilia;190805;NP;fanghi prodotti dal trattamento delle acque reflue urbane;R3;R;11540;kg
2025;AG;Sicilia;190805;NP;fanghi prodotti dal trattamento delle acque reflue urbane;R5;R;199360;kg
2025;AG;Sicilia;190809;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D8;D;339105;kg
2025;AG;Sicilia;190809;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D9;D;664820;kg
2025;AG;Sicilia;190810;P;miscele di oli e grassi prodotte dalla separazione olio/acqua, diverse da quelle di cui alla voce 19 08 09;D9;D;1280;kg
2025;AG;Sicilia;190812;NP;fanghi prodotti dal trattamento biologico di acque reflue industriali, diversi da quelli di cui alla voce 19 08 11;R5;R;886580;kg
2025;AG;Sicilia;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D1;D;4334540;kg
2025;AG;Sicilia;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D8;D;40620;kg
2025;AG;Sicilia;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;R13;R;93610;kg
2025;AG;Sicilia;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;R5;R;109660;kg
2025;AG;Sicilia;191202;NP;metalli ferrosi;R12;R;35400;kg
2025;AG;Sicilia;191202;NP;metalli ferrosi;R13;R;5071;kg
