Provincia;Regione;Numero operatori iscritti;Numero unita locali iscritte;di cui Produttore;di cui Trasportatore;di cui Intermediario senza detenzione;di cui Recuperatore;di cui Smaltitore;di cui Centro di raccolta
AG;Sicilia;2169;2631;2432;350;50;83;26;25
AL;Piemonte;2844;3490;3318;393;54;146;41;25
AN;Marche;3070;3852;3715;362;50;183;38;26
AO;Valle d`Aosta;777;1057;964;167;9;36;22;30
AP;Marche;1320;1639;1573;160;32;71;17;12
AQ;Abruzzo;1529;2016;1898;298;34;83;37;26
AR;Toscana;2707;3364;3216;327;30;95;27;29
AT;Piemonte;1413;1872;1738;251;16;62;27;13
AV;Campania;2605;3025;2873;352;61;102;17;17
BA;Puglia;7107;8637;8198;1107;160;208;39;63
BG;Lombardia;7821;9795;9235;1079;219;325;86;183
BI;Piemonte;1239;1428;1386;138;20;64;8;11
BL;Veneto;1358;1812;1768;105;16;42;28;45
BN;Campania;1887;2269;2114;290;49;84;6;26
BO;Emilia Romagna;6235;8211;7914;760;129;186;44;63
BR;Puglia;1979;2384;2244;392;35;87;29;22
BS;Lombardia;10048;12592;11769;1419;336;524;151;194
BT;Puglia;1958;2203;2093;247;31;77;12;16
BZ;Trentino Alto Adige;2853;3910;3537;445;48;342;173;0
CA;Sardegna;2435;2980;2687;602;86;72;31;35
CB;Molise;1232;1657;1529;200;22;54;19;44
CE;Campania;5362;6170;5616;997;148;269;42;44
CH;Abruzzo;2435;3091;2925;323;62;100;40;31
CI;Sardegna;71;85;64;18;2;7;3;10
CL;Sicilia;1174;1438;1314;219;44;36;22;13
CN;Piemonte;4163;5509;5251;511;64;256;41;88
CO;Lombardia;3647;4464;4221;521;55;161;37;69
CR;Lombardia;2292;2936;2750;270;40;101;32;92
CS;Calabria;2796;3859;3683;483;31;95;18;34
CT;Sicilia;4202;4910;4513;689;109;156;43;47
CZ;Calabria;1856;2336;2163;416;35;69;18;28
EN;Sicilia;695;812;728;102;7;27;9;18
FC;Emilia Romagna;2763;3509;3363;329;54;158;17;23
FE;Emilia Romagna;1925;2471;2376;253;39;99;26;27
FG;Puglia;2774;3541;3216;607;49;175;22;44
FI;Toscana;7671;9955;9447;1144;112;176;45;22
FM;Marche;1430;1636;1547;134;18;39;14;18
FR;Lazio;2820;3344;3092;470;112;112;23;27
GE;Liguria;4039;5348;4962;775;83;166;55;31
GO;Friuli Venezia Giulia;851;1053;1017;87;21;37;14;11
GR;Toscana;1539;1955;1856;214;25;41;29;25
IM;Liguria;1064;1269;1183;183;17;37;13;16
IS;Molise;617;753;688;117;15;30;4;10
KR;Calabria;746;950;854;167;15;47;20;6
LC;Lombardia;2571;3161;3014;348;46;87;21;58
LE;Puglia;4076;4905;4657;573;87;139;66;105
LI;Toscana;1830;2335;2229;268;46;67;31;23
LO;Lombardia;1377;1755;1632;151;23;60;20;59
LT;Lazio;3390;4022;3763;561;76;107;39;28
LU;Toscana;2504;3292;3130;379;64;82;20;27
MB;Lombardia;5694;6739;6291;974;132;240;91;10
MC;Marche;2527;3074;2906;306;40;159;47;34
ME;Sicilia;2715;3242;2965;498;42;85;12;39
MI;Lombardia;16802;22086;20720;2372;676;652;336;79
MN;Lombardia;2794;3541;3387;344;51;131;46;52
MO;Emilia Romagna;4657;6023;5810;511;71;195;37;60
MS;Toscana;1151;1456;1385;158;19;24;10;5
MT;Basilicata;1170;1526;1443;215;31;60;11;23
NA;Campania;13506;16307;15280;2137;428;367;66;111
NO;Piemonte;2332;2917;2755;271;39;101;39;47
NU;Sardegna;957;1299;1159;227;12;33;14;65
OG;Sardegna;42;52;45;6;2;3;0;3
OR;Sardegna;854;1221;1121;179;9;35;13;56
OT;Sardegna;128;151;145;11;2;2;0;5
PA;Sicilia;4705;5970;5399;1019;55;112;46;40
PC;Emilia Romagna;2024;2599;2472;262;30;85;16;51
PD;Veneto;6709;8332;8035;689;119;265;83;55
PE;Abruzzo;1642;1937;1799;275;37;56;16;8
PG;Umbria;5353;6741;6411;683;80;178;55;48
PI;Toscana;3082;3914;3685;428;72;103;41;33
PN;Friuli Venezia Giulia;2314;3058;2897;212;39;128;27;83
PO;Toscana;3007;3458;3280;309;31;105;14;3
PR;Emilia Romagna;2949;3830;3686;323;62;97;28;55
PT;Toscana;2010;2481;2320;297;21;59;17;9
PU;Marche;2584;3352;3206;290;45;120;26;29
PV;Lombardia;3201;4046;3753;449;84;183;62;70
PZ;Basilicata;2089;2945;2727;452;43;72;14;67
RA;Emilia Romagna;2319;3139;2988;247;50;135;42;31
RC;Calabria;2131;2428;2228;414;29;71;18;13
RE;Emilia Romagna;3252;4266;4106;345;34;127;31;68
RG;Sicilia;1567;1847;1748;169;20;51;19;6
RI;Lazio;779;1046;988;110;10;35;5;10
RM;Lazio;17393;22735;21157;3225;577;316;101;101
RN;Emilia Romagna;1904;2330;2220;210;30;57;12;15
RO;Veneto;1628;1984;1902;189;22;75;16;19
SA;Campania;5982;7506;7014;997;189;222;35;109
SI;Toscana;1943;2564;2460;242;27;73;32;37
SO;Lombardia;1341;1676;1596;221;9;51;20;40
SP;Liguria;1279;1606;1550;140;16;38;9;16
SR;Sicilia;1623;2020;1915;256;53;70;25;16
SS;Sardegna;2651;3623;3394;456;46;117;54;60
SU;Sardegna;1516;2127;1883;466;38;77;27;62
SV;Liguria;1531;1956;1840;293;33;60;22;27
TA;Puglia;2446;3037;2805;429;64;102;32;41
TE;Abruzzo;1967;2394;2269;285;50;103;47;24
