report_id;da_run;a_run;tipo_variazione;Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Valore_prec;Valore_att;Delta;Stato
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AG;130208;kg;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;236214.0;236414.0;200.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AG;130208;l;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;10148.0;9948.0;-200.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AG;150110;kg;Sicilia;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;75540.0;75565.0;25.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AG;190813;kg;Sicilia;P;fanghi contenenti sostanze pericolose prodotti da altri trattamenti di acque reflue industriali;70445.0;70645.0;200.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AR;150110;kg;Toscana;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;718924.0;718954.0;30.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AR;150202;kg;Toscana;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;252734.0;252924.0;190.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AR;160107;kg;Toscana;P;filtri dell'olio;49820.0;49940.0;120.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AR;160112;kg;Toscana;NP;pastiglie per freni, diverse da quelle di cui alla voce 16 01 11;17855.0;17895.0;40.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AR;160121;kg;Toscana;P;componenti pericolosi diversi da quelli di cui alle voci da 16 01 07 a 16 01 11, 16 01 13 e 16 01 14;16247.0;16257.0;10.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;AT;020705;kg;Piemonte;NP;fanghi da trattamento in loco degli effluenti;871580.0;870940.0;-640.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BA;080318;kg;Puglia;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;78318.0;78329.0;11.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BA;150106;kg;Puglia;NP;imballaggi in materiali misti;12604452.0;12629952.0;25500.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BA;160604;kg;Puglia;NP;batterie alcaline (tranne 16 06 03);3363.0;3367.0;4.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BA;200133;kg;Puglia;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;9373.0;9793.0;420.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BG;101103;kg;Lombardia;NP;scarti di materiali in fibra a base di vetro;1408312.0;1404932.0;-3380.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BG;150103;kg;Lombardia;NP;imballaggi in legno;28642165.0;28643385.0;1220.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BG;170603;kg;Lombardia;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;1895724.0;1890734.0;-4990.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BG;170904;kg;Lombardia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;108831934.0;108834094.0;2160.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BO;150102;kg;Emilia Romagna;NP;imballaggi di plastica;8861929.0;8861469.0;-460.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BO;160305;kg;Emilia Romagna;P;rifiuti organici contenenti sostanze pericolose;1615196.0;1611196.0;-4000.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BO;160306;kg;Emilia Romagna;NP;rifiuti organici diversi da quelli di cui alla voce 16 03 05;1309754.0;1313754.0;4000.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;080121;kg;Lombardia;P;residui di pittura o di sverniciatori;30863.0;30773.0;-90.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;130110;l;Lombardia;P;oli minerali per circuiti idraulici, non clorurati;14840.0;15240.0;400.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;150101;kg;Lombardia;NP;imballaggi di carta e cartone;49267059.0;49292759.0;25700.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;150102;kg;Lombardia;NP;imballaggi di plastica;17075131.0;17088081.0;12950.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;150103;kg;Lombardia;NP;imballaggi in legno;31757172.0;31782072.0;24900.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;150106;kg;Lombardia;NP;imballaggi in materiali misti;34516969.0;34547269.0;30300.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;170402;kg;Lombardia;NP;alluminio;5361073.0;5388293.0;27220.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;170405;kg;Lombardia;NP;ferro e acciaio;103636729.0;103927075.0;290346.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BS;170604;kg;Lombardia;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;760099.0;761369.0;1270.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BT;130208;kg;Puglia;P;altri oli per motori, ingranaggi e lubrificazione;168638.0;168758.0;120.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BT;160107;kg;Puglia;P;filtri dell'olio;14182.0;14212.0;30.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BT;160601;kg;Puglia;P;batterie al piombo;143326.0;143456.0;130.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BT;200133;kg;Puglia;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;35.0;105.0;70.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;BZ;150202;kg;Trentino Alto Adige;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;370967.0;370877.0;-90.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;CA;130205;kg;Sardegna;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;1302604.0;1304776.0;2172.0;riga preesistente
56;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;CA;160103;kg;Sardegna;NP;pneumatici fuori uso;809027.0;818247.0;9220.0;riga preesistente
