report_id;da_run;a_run;tipo_variazione;Anno;Provincia produttore;Materiale;Unita di misura;Regione;Materiale_ID;Valore_prec;Valore_att;Delta;Stato
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;MI;Carta e cartone;kg;Lombardia;10;543287500.0;544826760.0;1539260.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;MI;Legno e sughero;kg;Lombardia;12;12105245.0;12473685.0;368440.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;MI;Plastica;kg;Lombardia;11;32383430.0;32408902.0;25472.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;MI;Rottami di ferro e acciaio;kg;Lombardia;8;362869510.0;362988210.0;118700.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;NA;Tessili;kg;Campania;14;22679926.0;22694486.0;14560.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;SU;Altro;kg;Sardegna;23;3301138.0;2985358.0;-315780.0;riga preesistente
57;2026-09-07;2026-09-15;retroattiva (anno chiuso);2025;VS;Altro;kg;Sardegna;23;0.0;315780.0;315780.0;riga nuova
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;Aggregati riciclati;kg;Sicilia;5;92700310.0;96242110.0;3541800.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;Altro;kg;Sicilia;23;553961.0;601034.0;47073.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;Ammendante compostato misto;kg;Sicilia;2;3551980.0;3842840.0;290860.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;Carta e cartone;kg;Sicilia;10;16706600.0;17153350.0;446750.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;Rottami di ferro e acciaio;kg;Sicilia;8;2354270.0;2414270.0;60000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;Aggregati riciclati;kg;Piemonte;5;283983073.0;301686752.0;17703679.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;Altro;kg;Piemonte;23;18875827.0;19261451.0;385624.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;CSS – combustibile;kg;Piemonte;13;3188450.0;3199450.0;11000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;Carta e cartone;kg;Piemonte;10;29389215.0;31637715.0;2248500.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;Rottami di rame;kg;Piemonte;9;4413179.0;4427879.0;14700.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Aggregati riciclati;kg;Marche;5;112325695.0;114594195.0;2268500.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Altri Ammendanti;kg;Marche;3;435930.0;519260.0;83330.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Altro;kg;Marche;23;21985510.0;21986543.0;1033.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Carta e cartone;kg;Marche;10;30731103.0;31131103.0;400000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Legno e sughero;kg;Marche;12;1349162.0;1394162.0;45000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Plastica;kg;Marche;11;986234.0;1084664.0;98430.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Rottami di alluminio;kg;Marche;6;2239227.0;2350227.0;111000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AN;Rottami di ferro e acciaio;kg;Marche;8;59627457.0;59850637.0;223180.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AO;Aggregati riciclati;kg;Valle d`Aosta;5;11198328.0;14897108.0;3698780.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AO;Carta e cartone;kg;Valle d`Aosta;10;7119900.0;7354080.0;234180.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AO;Rottami di ferro e acciaio;kg;Valle d`Aosta;8;5715251.0;5811871.0;96620.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AP;Aggregati riciclati;kg;Marche;5;197590128.0;199795720.0;2205592.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AP;Gomma;kg;Marche;15;1250737.0;1381037.0;130300.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AP;Rottami di alluminio;kg;Marche;6;193230.0;209160.0;15930.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AP;Rottami di ferro e acciaio;kg;Marche;8;14150259.0;14768259.0;618000.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AQ;Aggregati riciclati;kg;Abruzzo;5;379779888.0;381650648.0;1870760.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AQ;Altro;kg;Abruzzo;23;5800392.0;5801270.0;878.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AQ;Granulato di Conglomerato bituminoso;kg;Abruzzo;20;78935054.0;81136754.0;2201700.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AQ;Rottami di ferro e acciaio;kg;Abruzzo;8;1727054.0;2139384.0;412330.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AR;Aggregati riciclati;kg;Toscana;5;28263109.0;46737229.0;18474120.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AR;Legno e sughero;kg;Toscana;12;6217740.0;6222650.0;4910.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AR;Plastica;kg;Toscana;11;3111874.0;3704764.0;592890.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AR;Rottami di ferro e acciaio;kg;Toscana;8;11462746.0;11599550.0;136804.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AT;Carta e cartone;kg;Piemonte;10;8092184.0;8206082.0;113898.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AT;Rottami di ferro e acciaio;kg;Piemonte;8;54320870.0;56098292.0;1777422.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AV;Aggregati riciclati;kg;Campania;5;555111407.0;575267277.0;20155870.0;riga preesistente
57;2026-09-07;2026-09-15;accumulo anno corrente;2026;AV;Carta e cartone;kg;Campania;10;9425849.0;9558969.0;133120.0;riga preesistente
