report_id;da_run;a_run;tipo_variazione;Provincia;Campo;Regione;Valore_prec;Valore_att;Delta;Stato
59;2026-09-15;2026-09-18;stato attuale (senza anno);AG;Numero operatori iscritti;Sicilia;2169;2177;8;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AG;Numero unita locali iscritte;Sicilia;2631;2640;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AG;di cui Produttore;Sicilia;2432;2440;8;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AG;di cui Trasportatore;Sicilia;350;351;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AL;Numero operatori iscritti;Piemonte;2844;2848;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AL;Numero unita locali iscritte;Piemonte;3490;3493;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AL;di cui Produttore;Piemonte;3318;3322;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AL;di cui Trasportatore;Piemonte;393;395;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AN;Numero operatori iscritti;Marche;3070;3079;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AN;Numero unita locali iscritte;Marche;3852;3864;12;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AN;di cui Produttore;Marche;3715;3727;12;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AN;di cui Recuperatore;Marche;183;184;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AO;Numero operatori iscritti;Valle d'Aosta;777;781;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AO;Numero unita locali iscritte;Valle d'Aosta;1057;1061;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AO;di cui Produttore;Valle d'Aosta;964;968;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AP;Numero operatori iscritti;Marche;1320;1328;8;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AP;Numero unita locali iscritte;Marche;1639;1646;7;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AP;di cui Produttore;Marche;1573;1580;7;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AP;di cui Trasportatore;Marche;160;161;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AQ;Numero operatori iscritti;Abruzzo;1529;1540;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AQ;Numero unita locali iscritte;Abruzzo;2016;2027;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AQ;di cui Produttore;Abruzzo;1898;1909;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AQ;di cui Trasportatore;Abruzzo;298;299;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AR;Numero operatori iscritti;Toscana;2707;2717;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AR;Numero unita locali iscritte;Toscana;3364;3378;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AR;di cui Produttore;Toscana;3216;3230;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AR;di cui Trasportatore;Toscana;327;328;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AT;Numero operatori iscritti;Piemonte;1413;1416;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AT;Numero unita locali iscritte;Piemonte;1872;1875;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AT;di cui Produttore;Piemonte;1738;1741;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AV;Numero operatori iscritti;Campania;2605;2616;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AV;Numero unita locali iscritte;Campania;3025;3038;13;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AV;di cui Produttore;Campania;2873;2887;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);AV;di cui Trasportatore;Campania;352;353;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BA;Numero operatori iscritti;Puglia;7107;7126;19;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BA;Numero unita locali iscritte;Puglia;8637;8663;26;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BA;di cui Produttore;Puglia;8198;8223;25;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BA;di cui Trasportatore;Puglia;1107;1114;7;riga preesistente
